Date,AHT.L,RTO.L,ABF.L,STJ.L,BATS.L,SMT.L,PRU.L,SMIN.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,TSCO.L,RR.L,ANTO.L
2004-09-16,54.42300033569336,151.75,654.5,171.0,806.0,62.099998474121094,368.7052917480469,1081.4993896484375,635.3843994140625,744.5,216.75,155.50140380859375,660.5,345.48309326171875,84.59089660644531,209.0
2004-09-17,55.57600021362305,152.0,657.5,174.75,810.0,62.400001525878906,375.3149108886719,1079.9993896484375,635.3843994140625,755.0,220.0,154.54820251464844,654.0,349.2831115722656,86.13520050048828,214.39999389648438
2004-09-20,52.34749984741211,151.75,652.0,174.0,801.5,62.29999923706055,371.09429931640625,1070.9993896484375,635.3843994140625,755.5,218.25,154.07150268554688,648.5,348.6498107910156,84.84829711914062,211.8000030517578
2004-09-21,52.34749984741211,151.25,648.5,173.0,809.0,62.099998474121094,373.085205078125,1086.7493896484375,631.0767211914062,760.5,218.25,155.2631072998047,651.0,360.9997863769531,85.10569763183594,212.1999969482422
2004-09-22,51.88629913330078,151.5,650.5,175.25,805.0,61.95000076293945,367.9089050292969,1094.9993896484375,633.2305297851562,761.5,217.25,156.09719848632812,643.0,359.09979248046875,84.76249694824219,217.0
2004-09-23,50.96390151977539,151.5,651.0,173.5,817.5,62.0,366.1570129394531,1109.2493896484375,628.9227905273438,763.5,219.25,157.05050659179688,634.0,360.9997863769531,85.10569763183594,216.8000030517578
2004-09-24,49.5802001953125,152.5,654.5,172.5,807.5,61.5,364.5643005371094,1116.7493896484375,633.2305297851562,766.0,218.0,155.85890197753906,637.0,362.2665100097656,85.2771987915039,218.0
2004-09-27,48.657798767089844,152.5,649.0,175.0,805.5,61.20000076293945,363.1308898925781,1109.9993896484375,632.1536254882812,758.0,217.5,153.71400451660156,628.5,366.6997985839844,84.07620239257812,217.60000610351562
2004-09-28,50.272098541259766,152.75,653.0,171.0,806.5,61.349998474121094,360.7419128417969,1106.2493896484375,636.9996948242188,760.0,217.5,154.9055938720703,629.5,366.0664978027344,84.76249694824219,223.1999969482422
2004-09-29,51.42509841918945,151.75,660.5,174.0,805.5,61.650001525878906,364.1661071777344,1130.9993896484375,644.5382080078125,766.0,222.0,156.09719848632812,633.5,365.7497863769531,86.13520050048828,226.60000610351562
2004-09-30,51.42509841918945,150.5,664.0,172.25,801.0,61.599998474121094,358.7510070800781,1112.9993896484375,653.6920166015625,779.0,224.75,157.64630126953125,619.5,361.3164978027344,86.90730285644531,226.1999969482422
2004-10-01,50.50270080566406,151.25,674.5,174.75,810.0,62.45000076293945,367.51080322265625,1123.4993896484375,677.9227905273438,783.0,231.5,162.41259765625,639.5,366.0664978027344,90.08159637451172,229.39999389648438
2004-10-04,51.19449996948242,153.5,678.0,175.0,807.0,63.54999923706055,378.65948486328125,1139.9993896484375,684.38427734375,788.0,238.5,162.65089416503906,649.5,368.2831115722656,91.1968994140625,224.0
2004-10-05,51.65570068359375,153.25,681.5,180.0,813.5,64.0,381.2875061035156,1137.7493896484375,683.8458862304688,794.0,233.0,163.84249877929688,657.5,367.96649169921875,91.02529907226562,226.39999389648438
2004-10-06,51.88629913330078,154.5,681.0,181.0,809.0,63.75,383.835693359375,1135.4993896484375,681.1536254882812,786.5,232.5,163.6042022705078,657.0,367.6498107910156,89.39530181884766,227.8000030517578
2004-10-07,52.11690139770508,154.25,679.0,182.0,793.0,64.0,384.8710021972656,1148.2493896484375,683.307373046875,790.0,233.25,164.79580688476562,653.5,362.8998107910156,87.85099792480469,234.0
2004-10-08,52.80870056152344,153.0,677.0,181.0,802.5,63.599998474121094,381.4466857910156,1148.9993896484375,676.307373046875,792.5,232.75,163.84249877929688,656.0,366.0664978027344,87.16470336914062,235.0
2004-10-11,54.65359878540039,154.75,673.0,178.0,800.5,63.900001525878906,386.6228942871094,1151.9993896484375,667.6920166015625,789.0,233.0,162.41259765625,652.5,363.84979248046875,86.82150268554688,231.60000610351562
2004-10-12,53.731201171875,153.75,675.0,178.0,795.0,63.400001525878906,375.07598876953125,1132.4993896484375,670.9227905273438,789.0,231.0,160.6251983642578,653.0,363.5331115722656,85.9636001586914,228.0
2004-10-13,55.80659866333008,154.5,679.0,179.75,805.5,62.70000076293945,375.4742126464844,1129.4993896484375,662.307373046875,798.0,234.75,161.81680297851562,644.0,366.6997985839844,86.13520050048828,213.1999969482422
2004-10-14,55.80659866333008,155.5,684.5,179.5,810.5,62.79999923706055,374.91668701171875,1131.7493896484375,661.2305297851562,805.5,231.25,159.6719970703125,641.0,367.96649169921875,85.2771987915039,215.60000610351562
2004-10-15,55.80659866333008,155.5,685.5,182.75,811.0,62.79999923706055,368.1477966308594,1134.7493896484375,670.9227905273438,801.0,235.25,162.65089416503906,640.0,366.0664978027344,85.9636001586914,213.8000030517578
2004-10-18,55.80659866333008,156.0,681.5,181.0,811.0,62.599998474121094,364.7236022949219,1132.4993896484375,659.0767211914062,797.5,236.5,163.84249877929688,636.0,362.2665100097656,86.04940032958984,213.0
2004-10-19,57.88209915161133,156.25,695.5,184.5,820.0,62.70000076293945,336.0552978515625,1144.4993896484375,667.6920166015625,812.0,243.0,166.22569274902344,649.0,366.6997985839844,86.99310302734375,208.39999389648438
2004-10-20,57.4208984375,157.25,693.5,179.5,817.5,62.45000076293945,324.69549560546875,1112.2493896484375,651.5382080078125,818.0,238.25,164.1999969482422,637.0,366.0664978027344,86.99310302734375,206.39999389648438
2004-10-21,61.571800231933594,157.5,694.0,177.0,816.0,61.900001525878906,319.9327087402344,1114.4993896484375,651.5382080078125,811.5,236.5,164.1999969482422,637.0,363.5331115722656,87.76519775390625,209.39999389648438
2004-10-22,63.18600082397461,158.25,696.0,178.5,824.5,62.099998474121094,324.69549560546875,1117.4993896484375,649.38427734375,811.5,237.75,164.43829345703125,636.5,359.73309326171875,87.85099792480469,207.0
2004-10-25,62.95539855957031,156.0,692.0,176.0,818.0,61.0,322.0035095214844,1098.7493896484375,645.6151123046875,810.5,233.5,161.81680297851562,630.0,355.2998046875,86.73570251464844,205.39999389648438
2004-10-26,62.03300094604492,156.75,693.0,177.25,817.0,61.20000076293945,327.8016052246094,1103.2493896484375,645.0767211914062,814.0,234.5,162.0550994873047,632.0,361.6330871582031,87.50779724121094,207.39999389648438
2004-10-27,60.418701171875,154.5,695.0,183.0,828.5,61.70000076293945,331.943115234375,1118.9993896484375,646.1536254882812,833.0,236.75,164.43829345703125,636.5,367.96649169921875,88.62310028076172,208.8000030517578
2004-10-28,62.72480010986328,155.5,699.5,181.0,825.0,62.70000076293945,336.7059020996094,1122.7493896484375,646.1536254882812,833.0,241.25,165.62989807128906,641.5,366.6997985839844,89.39530181884766,199.8000030517578
2004-10-29,62.49420166015625,155.0,695.0,177.5,820.0,62.400001525878906,331.7361145019531,1118.2493896484375,647.7689819335938,834.5,238.25,166.22569274902344,641.0,363.5331115722656,88.96630096435547,199.60000610351562
2004-11-01,62.95539855957031,156.25,699.0,175.75,826.0,63.099998474121094,338.36248779296875,1125.7493896484375,646.1536254882812,839.0,243.25,166.58309936523438,649.5,367.6498107910156,89.82420349121094,202.8000030517578
2004-11-02,63.41659927368164,156.5,701.5,180.0,834.5,63.25,339.6050109863281,1133.9993896484375,643.9996948242188,835.0,245.5,167.41720581054688,659.5,365.7497863769531,90.5105972290039,202.0
2004-11-03,65.72270202636719,155.25,699.5,182.25,844.0,63.75,344.3677062988281,1135.4993896484375,649.38427734375,830.0,238.0,168.60879516601562,666.5,369.23309326171875,90.2531967163086,203.60000610351562
2004-11-04,64.80020141601562,157.25,701.0,183.25,846.0,63.70000076293945,338.36248779296875,1139.9993896484375,643.9996948242188,826.5,242.75,168.60879516601562,665.0,366.0664978027344,90.16739654541016,206.0
2004-11-05,65.03089904785156,157.5,702.0,186.0,848.0,65.0,342.5039978027344,1151.9993896484375,642.3843994140625,821.0,241.0,169.56210327148438,670.5,368.2831115722656,90.2531967163086,207.60000610351562
2004-11-08,65.2614974975586,155.5,714.0,182.5,845.0,64.69999694824219,341.6756896972656,1146.7493896484375,632.6920166015625,819.5,240.0,165.9873046875,663.5,369.5498046875,89.56680297851562,208.39999389648438
2004-11-09,65.03089904785156,155.25,714.5,183.5,846.0,64.25,344.1606140136719,1149.7493896484375,639.1536254882812,821.5,241.75,166.58309936523438,663.5,371.4497985839844,89.39530181884766,208.39999389648438
2004-11-10,64.33899688720703,156.75,715.0,183.0,852.5,63.900001525878906,346.6455078125,1157.9993896484375,646.1536254882812,808.0,245.5,164.1999969482422,672.5,373.66650390625,89.91000366210938,216.39999389648438
2004-11-11,67.56749725341797,158.25,712.0,184.75,855.0,64.0,352.8577880859375,1167.7493896484375,655.8458862304688,807.0,247.75,167.41720581054688,691.5,376.5165100097656,90.93949890136719,217.8000030517578
2004-11-12,68.2593002319336,158.5,719.5,190.0,858.5,65.0,353.0649108886719,1169.9993896484375,655.8458862304688,790.0,252.5,168.96629333496094,707.0,379.68310546875,91.1968994140625,219.39999389648438
