Date,MEGACPO.MX,ALSEA.MX,AC.MX,KIMBERA.MX,AMXL.MX,GRUMAB.MX,GCARSOA1.MX,BIMBOA.MX,GCC.MX,OMAB.MX,PINFRA.MX,GMEXICOB.MX,FEMSAUBD.MX,GAPB.MX,ASURB.MX,TLEVISACPO.MX,CEMEXCPO.MX,GFNORTEO.MX
2013-11-26,43.939998626708984,37.84000015258789,79.37999725341797,36.83000183105469,14.6899995803833,90.08999633789062,68.30999755859375,41.400001525878906,39.0,42.58000183105469,153.47000122070312,37.70000076293945,120.0199966430664,65.37999725341797,166.6300048828125,78.0999984741211,12.17240047454834,87.75
2013-11-27,43.83000183105469,38.54999923706055,80.73999786376953,38.20000076293945,15.180000305175781,90.5,68.41999816894531,40.400001525878906,38.33000183105469,43.45000076293945,151.0800018310547,37.939998626708984,124.58999633789062,66.44999694824219,171.0399932861328,79.05999755859375,12.232199668884277,89.56999969482422
2013-11-28,43.95000076293945,39.060001373291016,81.69999694824219,38.11000061035156,15.199999809265137,91.52999877929688,68.77999877929688,40.83000183105469,38.939998626708984,44.09000015258789,153.0399932861328,38.20000076293945,126.0999984741211,67.66999816894531,170.02000427246094,79.08999633789062,12.283499717712402,89.43000030517578
2013-11-29,43.939998626708984,39.4900016784668,82.13999938964844,38.939998626708984,15.210000038146973,92.0,69.91000366210938,40.79999923706055,39.81999969482422,44.93000030517578,154.2100067138672,38.849998474121094,125.94000244140625,68.91000366210938,173.9600067138672,80.06999969482422,12.351900100708008,89.62000274658203
2013-12-02,43.880001068115234,39.2400016784668,81.8499984741211,38.93000030517578,15.0600004196167,91.98999786376953,69.66000366210938,41.060001373291016,39.81999969482422,45.33000183105469,156.6999969482422,38.72999954223633,122.80000305175781,66.80999755859375,168.5,79.16999816894531,12.36050033569336,89.33000183105469
2013-12-03,43.97999954223633,39.099998474121094,81.55000305175781,38.70000076293945,15.010000228881836,92.45999908447266,69.62999725341797,40.2400016784668,39.599998474121094,44.95000076293945,157.9199981689453,38.04999923706055,121.77999877929688,67.36000061035156,167.5399932861328,77.04000091552734,12.189499855041504,89.66000366210938
2013-12-04,43.900001525878906,39.209999084472656,81.93000030517578,38.75,14.800000190734863,94.01000213623047,67.9800033569336,40.61000061035156,39.599998474121094,45.099998474121094,157.39999389648438,38.869998931884766,121.94000244140625,68.2699966430664,169.27000427246094,75.66999816894531,12.445899963378906,90.44999694824219
2013-12-05,43.849998474121094,38.689998626708984,82.56999969482422,39.040000915527344,14.550000190734863,91.51000213623047,69.9000015258789,40.560001373291016,40.0,45.900001525878906,156.99000549316406,39.70000076293945,120.91999816894531,70.11000061035156,168.55999755859375,74.08000183105469,12.326299667358398,91.08999633789062
2013-12-06,43.79999923706055,39.86000061035156,81.69999694824219,38.439998626708984,14.399999618530273,91.08999633789062,69.81999969482422,40.939998626708984,40.0,45.59000015258789,153.6300048828125,39.709999084472656,121.16000366210938,70.62999725341797,170.92999267578125,73.91000366210938,12.727999687194824,91.94000244140625
2013-12-09,43.90999984741211,39.290000915527344,82.61000061035156,38.630001068115234,14.569999694824219,95.66000366210938,71.54000091552734,41.060001373291016,40.0,45.54999923706055,155.02000427246094,40.93000030517578,122.4000015258789,69.79000091552734,168.47999572753906,75.18000030517578,12.745100021362305,92.80999755859375
2013-12-10,44.400001525878906,40.06999969482422,83.16999816894531,38.56999969482422,14.550000190734863,95.98999786376953,71.29000091552734,40.47999954223633,40.0,45.599998474121094,156.7899932861328,41.439998626708984,122.80999755859375,68.1500015258789,171.30999755859375,76.54000091552734,12.81350040435791,93.76000213623047
2013-12-11,44.119998931884766,40.0,82.66000366210938,38.189998626708984,14.569999694824219,95.79000091552734,71.23999786376953,39.66999816894531,39.9900016784668,44.849998474121094,154.5800018310547,40.41999816894531,124.25,69.0,169.86000061035156,77.12999725341797,12.745100021362305,93.30000305175781
