Date,ABT,ATVI,ALK,ALB,LNT,AEE,AEP,AXP,AIG,AME,AMGN,APH,AOS,APA,AMAT,ADM,T,AVY,BLL,DUK,EA
2010-09-27,24.99757957458496,10.819999694824219,12.492500305175781,44.84000015258789,18.110000610351562,28.25,36.540000915527344,43.439998626708984,37.130001068115234,20.719999313354492,55.689998626708984,12.114999771118164,9.551667213439941,97.55999755859375,11.539999961853027,32.63999938964844,28.8700008392334,36.36000061035156,14.854999542236328,53.70000076293945,16.56999969482422
2010-09-28,25.13192367553711,11.15999984741211,12.40999984741211,45.33000183105469,18.18000030517578,28.3700008392334,36.720001220703125,43.689998626708984,37.31999969482422,21.191110610961914,56.0,12.229999542236328,9.736666679382324,97.0999984741211,11.729999542236328,32.88999938964844,28.920000076293945,36.72999954223633,14.9375,53.81999969482422,16.549999237060547
2010-09-29,25.184701919555664,11.0,12.729999542236328,46.130001068115234,18.125,28.440000534057617,36.459999084472656,43.0099983215332,37.45000076293945,21.093332290649414,54.939998626708984,12.295000076293945,9.6850004196167,98.02999877929688,11.680000305175781,32.56999969482422,28.709999084472656,37.18000030517578,14.717499732971191,53.58000183105469,16.229999542236328
2010-09-30,25.06475257873535,10.819999694824219,12.757499694824219,46.810001373291016,18.174999237060547,28.399999618530273,36.22999954223633,42.029998779296875,39.099998474121094,21.231111526489258,55.11000061035156,12.244999885559082,9.648332595825195,97.76000213623047,11.680000305175781,31.920000076293945,28.600000381469727,37.119998931884766,14.712499618530273,53.130001068115234,16.450000762939453
2010-10-01,25.22788429260254,10.869999885559082,12.447500228881836,47.2599983215332,18.329999923706055,28.790000915527344,36.220001220703125,41.779998779296875,38.86000061035156,21.337778091430664,55.5099983215332,12.265000343322754,9.623332977294922,98.27999877929688,11.710000038146973,31.920000076293945,28.809999465942383,37.2400016784668,14.84749984741211,53.4900016784668,16.440000534057617
2010-10-04,25.194297790527344,10.989999771118164,12.142499923706055,46.70000076293945,18.2450008392334,28.65999984741211,36.20000076293945,39.04999923706055,39.279998779296875,21.248889923095703,55.04999923706055,12.0625,9.486666679382324,97.01000213623047,11.489999771118164,31.610000610351562,28.860000610351562,36.68000030517578,14.7475004196167,53.25,16.959999084472656
2010-10-05,25.467784881591797,11.350000381469727,12.21500015258789,48.13999938964844,18.299999237060547,29.040000915527344,36.34000015258789,38.279998779296875,39.939998626708984,21.8799991607666,56.119998931884766,12.537500381469727,9.78166675567627,98.9000015258789,11.859999656677246,32.380001068115234,29.360000610351562,37.72999954223633,15.125,53.220001220703125,17.81999969482422
2010-10-06,25.419803619384766,11.100000381469727,12.1875,47.91999816894531,18.100000381469727,28.93000030517578,36.2599983215332,38.02000045776367,40.7400016784668,21.55555534362793,55.83000183105469,12.359999656677246,9.808333396911621,99.76000213623047,11.729999542236328,32.29999923706055,28.6200008392334,37.7400016784668,15.055000305175781,53.099998474121094,17.40999984741211
2010-10-07,25.22788429260254,11.020000457763672,11.625,47.75,18.084999084472656,29.15999984741211,36.04999923706055,37.81999969482422,40.470001220703125,21.457778930664062,55.959999084472656,12.354999542236328,9.84000015258789,99.6500015258789,11.729999542236328,32.72999954223633,28.25,37.59000015258789,15.0,52.88999938964844,17.579999923706055
2010-10-08,25.338237762451172,11.109999656677246,12.047499656677246,47.810001373291016,18.06999969482422,29.18000030517578,36.189998626708984,37.9900016784668,40.90999984741211,21.440000534057617,56.38999938964844,12.3125,9.908332824707031,101.52999877929688,11.819999694824219,32.86000061035156,28.219999313354492,38.040000915527344,15.029999732971191,52.91999816894531,17.649999618530273
2010-10-11,25.338237762451172,11.130000114440918,11.755000114440918,48.040000915527344,18.110000610351562,29.18000030517578,36.290000915527344,37.939998626708984,41.040000915527344,21.608888626098633,56.099998474121094,12.329999923706055,9.779999732971191,102.01000213623047,11.819999694824219,32.560001373291016,28.31999969482422,38.290000915527344,15.154999732971191,52.86000061035156,17.65999984741211
2010-10-12,25.674097061157227,11.25,11.829999923706055,48.02000045776367,17.899999618530273,28.90999984741211,35.86000061035156,38.540000915527344,41.779998779296875,21.675556182861328,55.939998626708984,12.319999694824219,9.66333293914795,101.56999969482422,11.960000038146973,32.709999084472656,28.389999389648438,38.18000030517578,15.202500343322754,52.7400016784668,16.610000610351562
2010-10-13,25.515764236450195,11.300000190734863,11.885000228881836,48.81999969482422,17.950000762939453,28.899999618530273,35.83000183105469,39.2599983215332,42.709999084472656,22.12444305419922,55.4900016784668,12.467499732971191,9.841667175292969,103.29000091552734,11.970000267028809,33.220001220703125,28.469999313354492,38.41999816894531,15.492500305175781,52.68000030517578,16.760000228881836
2010-10-14,25.5301570892334,11.479999542236328,11.845000267028809,48.52000045776367,17.959999084472656,28.770000457763672,35.790000915527344,39.439998626708984,41.939998626708984,21.866666793823242,54.86000061035156,12.359999656677246,9.710000038146973,103.2300033569336,11.90999984741211,33.279998779296875,28.5,38.150001525878906,15.4350004196167,52.7400016784668,16.520000457763672
2010-10-15,25.51096534729004,11.369999885559082,11.787500381469727,48.4900016784668,18.075000762939453,28.8799991607666,35.939998626708984,39.09000015258789,41.470001220703125,21.76444435119629,56.709999084472656,12.537500381469727,9.71166706085205,104.13999938964844,12.020000457763672,33.27000045776367,28.329999923706055,38.2400016784668,15.545000076293945,52.77000045776367,15.960000038146973
2010-10-18,25.750865936279297,11.25,11.897500038146973,48.380001068115234,18.239999771118164,29.239999771118164,36.33000183105469,39.54999923706055,42.2599983215332,22.053333282470703,57.959999084472656,12.47249984741211,9.609999656677246,106.3499984741211,11.949999809265137,33.58000183105469,28.6200008392334,38.279998779296875,15.595000267028809,52.95000076293945,15.770000457763672
2010-10-19,25.36702537536621,11.170000076293945,11.619999885559082,47.349998474121094,18.19499969482422,28.940000534057617,36.52000045776367,39.310001373291016,41.0099983215332,21.69333267211914,57.33000183105469,12.192500114440918,9.433333396911621,102.27999877929688,11.779999732971191,32.959999084472656,28.209999084472656,37.9900016784668,15.387499809265137,53.0099983215332,15.579999923706055
2010-10-20,25.15111541748047,11.079999923706055,12.352499961853027,48.36000061035156,18.360000610351562,29.18000030517578,36.81999969482422,39.72999954223633,41.61000061035156,22.053333282470703,57.72999954223633,12.167499542236328,9.511667251586914,103.4000015258789,11.9399995803833,33.43000030517578,28.610000610351562,39.02000045776367,15.53499984741211,53.369998931884766,15.399999618530273
2010-10-21,25.352632522583008,11.25,12.317500114440918,48.68000030517578,18.260000228881836,28.940000534057617,36.900001525878906,40.27000045776367,41.279998779296875,22.302221298217773,57.619998931884766,12.350000381469727,9.573332786560059,102.97000122070312,11.899999618530273,33.43000030517578,28.34000015258789,38.97999954223633,15.53499984741211,53.459999084472656,15.569999694824219
2010-10-22,25.21828842163086,11.1899995803833,12.585000038146973,49.02000045776367,18.309999465942383,28.829999923706055,36.70000076293945,39.029998779296875,41.560001373291016,22.164443969726562,57.54999923706055,12.279999732971191,9.59000015258789,101.30000305175781,12.130000114440918,33.540000915527344,28.290000915527344,38.900001525878906,15.345000267028809,53.34000015258789,15.609999656677246
2010-10-25,25.194297790527344,11.329999923706055,12.707500457763672,50.06999969482422,18.395000457763672,28.760000228881836,36.459999084472656,39.29999923706055,41.099998474121094,22.351110458374023,57.95000076293945,12.510000228881836,9.491666793823242,101.06999969482422,12.149999618530273,33.709999084472656,28.360000610351562,39.5099983215332,15.375,53.310001373291016,15.619999885559082
2010-10-26,25.280662536621094,11.289999961853027,12.829999923706055,50.16999816894531,18.325000762939453,28.68000030517578,36.65999984741211,40.099998474121094,42.029998779296875,23.84000015258789,57.2599983215332,12.470000267028809,9.448332786560059,100.37000274658203,12.09000015258789,33.369998931884766,28.309999465942383,39.15999984741211,15.392499923706055,53.58000183105469,15.8100004196167
2010-10-27,24.776872634887695,11.319999694824219,13.067500114440918,49.84000015258789,18.149999618530273,28.579999923706055,36.849998474121094,40.68000030517578,41.81999969482422,23.46666717529297,57.029998779296875,12.367500305175781,9.399999618530273,100.51000213623047,12.239999771118164,33.220001220703125,28.350000381469727,37.9900016784668,15.199999809265137,53.61000061035156,15.789999961853027
2010-10-28,24.82965087890625,11.350000381469727,13.202500343322754,49.470001220703125,18.34000015258789,28.600000381469727,37.209999084472656,41.220001220703125,41.97999954223633,23.657777786254883,57.27000045776367,12.34749984741211,9.311667442321777,100.36000061035156,12.25,33.45000076293945,28.5,36.779998779296875,15.449999809265137,54.209999084472656,15.630000114440918
2010-10-29,24.623336791992188,11.460000038146973,13.199999809265137,50.130001068115234,18.264999389648438,28.979999542236328,37.439998626708984,41.459999084472656,42.0099983215332,24.0222225189209,57.189998626708984,12.532500267028809,9.338333129882812,101.0199966430664,12.350000381469727,33.31999969482422,28.520000457763672,36.349998474121094,16.09000015258789,54.630001068115234,15.829999923706055
2010-11-01,24.27787971496582,11.390000343322754,13.109999656677246,50.189998626708984,18.219999313354492,28.850000381469727,37.279998779296875,41.560001373291016,41.91999816894531,24.266666412353516,57.43000030517578,12.494999885559082,9.326666831970215,101.0,12.369999885559082,33.38999938964844,28.719999313354492,35.79999923706055,15.789999961853027,54.150001525878906,15.800000190734863
2010-11-02,24.41222381591797,11.479999542236328,13.3125,50.75,18.489999771118164,29.299999237060547,37.630001068115234,42.38999938964844,42.119998931884766,24.413333892822266,57.34000015258789,12.779999732971191,9.533332824707031,103.12000274658203,12.479999542236328,31.190000534057617,28.940000534057617,36.310001373291016,16.072500228881836,54.810001373291016,16.200000762939453
2010-11-03,24.48899269104004,11.449999809265137,13.510000228881836,50.9900016784668,18.5049991607666,29.040000915527344,37.54999923706055,42.06999969482422,43.56999969482422,24.46666717529297,57.29999923706055,12.875,9.536666870117188,102.58000183105469,12.539999961853027,31.049999237060547,29.059999465942383,36.380001068115234,16.114999771118164,54.869998931884766,15.5
2010-11-04,24.41222381591797,11.630000114440918,13.8125,52.779998779296875,18.760000228881836,29.719999313354492,37.59000015258789,43.72999954223633,44.7400016784668,25.017778396606445,56.0099983215332,13.237500190734863,9.96833324432373,107.79000091552734,12.890000343322754,31.559999465942383,29.440000534057617,37.790000915527344,16.4325008392334,55.59000015258789,15.850000381469727
2010-11-05,24.431415557861328,11.300000190734863,13.970000267028809,53.099998474121094,18.815000534057617,29.829999923706055,37.70000076293945,44.06999969482422,45.61000061035156,25.14666748046875,55.41999816894531,13.220000267028809,9.963333129882812,108.69000244140625,12.979999542236328,31.350000381469727,29.270000457763672,37.9900016784668,16.514999389648438,55.470001220703125,16.34000015258789
2010-11-08,24.205909729003906,11.880000114440918,13.774999618530273,52.880001068115234,18.610000610351562,29.540000915527344,36.93000030517578,43.900001525878906,44.630001068115234,24.9777774810791,55.290000915527344,13.119999885559082,9.978333473205566,109.51000213623047,12.800000190734863,31.190000534057617,29.18000030517578,37.43000030517578,16.387500762939453,55.290000915527344,16.530000686645508
2010-11-09,24.01399040222168,11.770000457763672,13.385000228881836,52.5,18.55500030517578,29.540000915527344,36.900001525878906,43.36000061035156,42.86000061035156,25.004444122314453,54.93000030517578,13.042499542236328,9.676667213439941,109.97000122070312,12.819999694824219,30.850000381469727,29.18000030517578,37.0099983215332,16.3700008392334,54.150001525878906,16.34000015258789
2010-11-10,24.071565628051758,11.819999694824219,13.520000457763672,53.0,18.475000381469727,29.3799991607666,36.599998474121094,43.560001373291016,42.9900016784668,25.11111068725586,54.70000076293945,13.130000114440918,9.783332824707031,110.25,12.850000381469727,30.780000686645508,29.049999237060547,37.060001373291016,16.422500610351562,53.63999938964844,16.18000030517578
2010-11-11,23.884443283081055,11.890000343322754,13.425000190734863,52.959999084472656,18.329999923706055,29.280000686645508,36.540000915527344,43.349998474121094,42.5099983215332,24.51555633544922,54.619998931884766,12.8125,9.729999542236328,110.70999908447266,12.630000114440918,30.68000030517578,28.829999923706055,37.099998474121094,16.4375,53.61000061035156,16.0
2010-11-12,23.308683395385742,11.5,13.470000267028809,51.959999084472656,18.21500015258789,29.290000915527344,36.52000045776367,42.70000076293945,41.810001373291016,24.373332977294922,54.470001220703125,12.642499923706055,9.561667442321777,109.51000213623047,12.59000015258789,30.229999542236328,28.459999084472656,36.439998626708984,16.219999313354492,53.369998931884766,15.829999923706055
