Date,SLAB,FNLC,CVCO,BBI,FARM,NVCN,FARO,BBQ,OPTT,EXAS,SCOR,ATEC
2015-10-29,49.290000915527344,21.25,82.75,29.399999618530273,28.799999237060547,5570.0,34.060001373291016,11.90999984741211,51.400001525878906,7.150000095367432,42.45000076293945,4.079999923706055
2015-10-30,49.970001220703125,21.1299991607666,98.5999984741211,29.399999618530273,28.3799991607666,5550.0,33.790000915527344,11.510000228881836,46.20000076293945,8.329999923706055,42.779998779296875,4.199999809265137
2015-11-02,49.95000076293945,21.190000534057617,97.55000305175781,29.399999618530273,30.09000015258789,5010.0,33.7599983215332,11.90999984741211,53.599998474121094,9.930000305175781,44.619998931884766,3.9600000381469727
2015-11-03,49.63999938964844,21.149999618530273,97.19000244140625,31.5,31.100000381469727,5100.0,35.25,12.170000076293945,55.400001525878906,9.890000343322754,44.65999984741211,4.079999923706055
2015-11-04,50.400001525878906,21.25,96.66999816894531,31.5,31.100000381469727,5330.0,24.34000015258789,10.100000381469727,50.400001525878906,9.729999542236328,43.31999969482422,4.199999809265137
2015-11-05,50.20000076293945,21.3799991607666,95.6500015258789,30.799999237060547,31.1200008392334,5110.0,24.790000915527344,9.819999694824219,51.0,10.0,45.189998626708984,3.9600000381469727
2015-11-06,51.220001220703125,21.709999084472656,95.19000244140625,30.100000381469727,29.8799991607666,5080.0,28.260000228881836,9.670000076293945,51.599998474121094,9.649999618530273,46.56999969482422,3.8399999141693115
2015-11-09,50.880001068115234,21.600000381469727,93.87000274658203,28.700000762939453,29.40999984741211,5120.0,27.3799991607666,9.079999923706055,50.20000076293945,9.390000343322754,44.189998626708984,4.079999923706055
2015-11-10,51.220001220703125,21.100000381469727,94.25,28.700000762939453,29.510000228881836,5020.0,27.68000030517578,9.010000228881836,52.0,9.779999732971191,44.439998626708984,3.8399999141693115
2015-11-11,51.630001068115234,20.81999969482422,93.62000274658203,28.700000762939453,29.299999237060547,4810.0,27.639999389648438,8.930000305175781,50.599998474121094,9.600000381469727,43.77000045776367,3.240000009536743
2015-11-12,50.75,20.540000915527344,91.4000015258789,28.0,28.729999542236328,4270.0,26.260000228881836,8.739999771118164,50.20000076293945,9.270000457763672,42.790000915527344,3.359999895095825
2015-11-13,50.27000045776367,20.440000534057617,89.5199966430664,29.399999618530273,28.770000457763672,4610.0,26.31999969482422,8.4399995803833,48.0,9.390000343322754,42.099998474121094,2.759999990463257
2015-11-16,50.02000045776367,20.6299991607666,90.08000183105469,28.700000762939453,29.440000534057617,4540.0,27.559999465942383,8.710000038146973,48.20000076293945,9.460000038146973,43.279998779296875,2.640000104904175
2015-11-17,51.61000061035156,20.559999465942383,90.4000015258789,29.399999618530273,29.43000030517578,4660.0,27.84000015258789,8.550000190734863,48.79999923706055,9.460000038146973,42.810001373291016,2.5199999809265137
2015-11-18,52.439998626708984,20.729999542236328,91.80999755859375,28.700000762939453,29.0,4700.0,29.989999771118164,8.40999984741211,48.599998474121094,9.640000343322754,42.34000015258789,2.640000104904175
2015-11-19,52.43000030517578,20.8799991607666,91.69999694824219,28.700000762939453,28.59000015258789,4710.0,29.579999923706055,8.399999618530273,48.599998474121094,9.65999984741211,42.72999954223633,2.759999990463257
2015-11-20,52.380001068115234,21.299999237060547,91.7699966430664,28.0,29.020000457763672,4470.0,29.6200008392334,8.890000343322754,48.79999923706055,9.5,42.2400016784668,2.759999990463257
2015-11-23,51.380001068115234,21.739999771118164,91.52999877929688,29.399999618530273,29.389999389648438,4600.0,29.549999237060547,8.59000015258789,60.599998474121094,9.6899995803833,40.560001373291016,2.759999990463257
2015-11-24,52.9900016784668,22.09000015258789,92.04000091552734,31.5,29.450000762939453,4660.0,30.690000534057617,8.34000015258789,59.0,9.09000015258789,40.939998626708984,2.759999990463257
2015-11-25,53.25,22.09000015258789,91.79000091552734,32.20000076293945,29.440000534057617,5010.0,30.31999969482422,8.239999771118164,59.20000076293945,8.890000343322754,42.02000045776367,2.640000104904175
2015-11-27,53.560001373291016,22.1200008392334,92.55999755859375,32.900001525878906,29.469999313354492,4960.0,30.540000915527344,8.09000015258789,57.0,9.229999542236328,42.25,2.880000114440918
2015-11-30,54.11000061035156,22.190000534057617,92.69999694824219,37.099998474121094,29.229999542236328,4980.0,30.09000015258789,7.840000152587891,51.79999923706055,9.09000015258789,42.099998474121094,2.759999990463257
