Date,1038.HK,0027.HK,0003.HK,1044.HK,0241.HK,0002.HK,0101.HK,0012.HK,2628.HK,0006.HK,0016.HK,0267.HK,0883.HK,2319.HK,1093.HK,0386.HK,0669.HK
2012-09-03,46.900001525878906,22.100000381469727,8.508417129516602,77.68779754638672,0.41499999165534973,64.69999694824219,26.399999618530273,25.196062088012695,20.950000762939453,61.29999923706055,101.80000305175781,9.359999656677246,14.699999809265137,11.774999618530273,1.171875,5.615384101867676,12.079999923706055
2012-09-04,46.5,22.299999237060547,8.415327072143555,76.6725845336914,0.41499999165534973,64.0,26.350000381469727,25.01645851135254,21.100000381469727,61.0,101.30000305175781,8.970000267028809,14.619999885559082,11.899999618530273,1.1614580154418945,5.461537837982178,11.9399995803833
2012-09-05,46.75,21.799999237060547,8.35947322845459,74.54547119140625,0.4000000059604645,63.5,25.799999237060547,24.631589889526367,20.899999618530273,60.95000076293945,100.5,8.960000038146973,14.260000228881836,11.824999809265137,1.109375,5.361537933349609,12.0600004196167
2012-09-06,46.75,20.700000762939453,8.443254470825195,75.51234436035156,0.39500001072883606,63.29999923706055,25.450000762939453,24.503299713134766,21.149999618530273,61.75,100.0999984741211,9.239999771118164,14.15999984741211,11.800000190734863,1.119791030883789,5.3153839111328125,12.279999732971191
2012-09-07,46.70000076293945,21.799999237060547,8.564270973205566,76.86595916748047,0.4099999964237213,64.5,26.5,25.52961540222168,21.799999237060547,63.54999923706055,102.9000015258789,9.199999809265137,14.380000114440918,12.0,1.151041030883789,5.376923084259033,12.399999618530273
2012-09-10,47.349998474121094,22.649999618530273,8.657361030578613,74.20706939697266,0.4099999964237213,64.5999984741211,26.600000381469727,25.683563232421875,21.850000381469727,63.5,103.30000305175781,9.5600004196167,14.34000015258789,11.875,1.135416030883789,5.446153163909912,12.319999694824219
2012-09-11,47.04999923706055,23.149999618530273,8.601507186889648,74.0136947631836,0.39500001072883606,64.5,26.899999618530273,26.119747161865234,21.950000762939453,63.79999923706055,104.5999984741211,9.390000343322754,14.699999809265137,11.524999618530273,1.151041030883789,5.407691955566406,12.34000015258789
2012-09-12,47.29999923706055,23.149999618530273,8.685288429260254,74.06204223632812,0.41499999165534973,64.69999694824219,27.600000381469727,26.9408016204834,22.100000381469727,63.95000076293945,106.30000305175781,9.680000305175781,14.899999618530273,11.774999618530273,1.151041030883789,5.492307186126709,12.420000076293945
2012-09-13,46.400001525878906,23.850000381469727,8.685288429260254,74.0136947631836,0.4099999964237213,64.69999694824219,27.549999237060547,26.709880828857422,22.0,62.70000076293945,107.0999984741211,9.449999809265137,14.9399995803833,11.725000381469727,1.1458330154418945,5.476922988891602,12.680000305175781
2012-09-14,45.95000076293945,24.950000762939453,8.815613746643066,74.15872955322266,0.4300000071525574,65.19999694824219,28.049999237060547,27.787511825561523,22.950000762939453,62.75,111.80000305175781,9.770000457763672,15.65999984741211,11.600000381469727,1.135416030883789,5.62307596206665,13.720000267028809
